articleId,title,trueCategory,nbPred,lrPred,combinedPred,nbCorrect,lrCorrect,combinedCorrect
1,"Doğum İzni Düzenlemesi: Anneler İçin 24 Hafta Tamamlama Hakkı","Siyaset","Siyaset","Siyaset","Siyaset",true,true,true
2,"Bakan Yumaklı: Türkiye'nin Gıda Arz Güvenliği Sorunu Yok, Üretim Artacak","Dünya","Siyaset","Siyaset","Siyaset",false,false,false
3,"Şişecam: 2026'da Yüksek Katma Değer ve Teknolojiyle Büyüme Hedefi","Teknoloji","Siyaset","Siyaset","Siyaset",false,false,false
4,"Xbox Game Pass'e Sadece First-Party Oyunlar İçin Yeni Paket Geliyor","Genel","Siyaset","Siyaset","Siyaset",false,false,false
5,"Vodafone, Uydu Üzerinden %100 Kapsama İçin Vites Yükseltti","Teknoloji","Ekonomi","Ekonomi","Ekonomi",false,false,false
6,"Vodafone'dan Avrupa'ya Uyduyla Tam Kapsama Hamlesi","Teknoloji","Siyaset","Siyaset","Siyaset",false,false,false
7,"HUBrica'dan Girişimlere Global Destek: Başvurular Açıldı","Teknoloji","Dünya","Dünya","Dünya",false,false,false
8,"Halkbank ve İTÜ'den Girişimcilere Destek: HUBrica 3. Dönem Başladı","Dünya","Teknoloji","Teknoloji","Teknoloji",false,false,false
9,"Hande Erçel'den 'Uyuşturucu' İddialarına Yanıt: Hiç Kullanmadım","Genel","Siyaset","Siyaset","Siyaset",false,false,false
10,"Bir lider öldü, sistem yeniden kuruldu","Ekonomi","Siyaset","Siyaset","Siyaset",false,false,false
11,"Körfez ülkelerinde 'İran' bölünmesi","Teknoloji","Siyaset","Siyaset","Siyaset",false,false,false
12,"Eski Eşini Çocukların Gözü Önünde Vurdu, Ezmeye Kalktı","Ekonomi","Siyaset","Siyaset","Siyaset",false,false,false
13,"The Traitors Türkiye Kanal D'de Başladı: İhanet ve Stratejiyle Kilitledi","Ekonomi","Siyaset","Siyaset","Siyaset",false,false,false
14,"Husiler İsrail'i Hedef Aldı: Bölgesel Gerilim ve Ekonomi Riskte","Dünya","Siyaset","Siyaset","Siyaset",false,false,false
15,"Bahçeli'den Yönter İstifası Açıklaması: 'Akademik Çalışmalar İçin'","Siyaset","Siyaset","Siyaset","Siyaset",true,true,true
16,"İzmir'in Tarihi Mirası Tehlikede: Vakıflar Girişimine CHP'den Kınama","Siyaset","Siyaset","Siyaset","Siyaset",true,true,true
